toy_id,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
0,0.014081635063533788,0.6707969878075172,37.80718336483932,0.24963982071153573,0.028757890833744228,0.8337158058407288,0.07758267202511257,0.01515449649823629,0.3249090273972019,0.36238329861260593,0.0007990978911992122,2.7605388776121463e-14,1.0118171760740145e-12
1,0.013137273289366072,0.654922113142412,37.80718336483932,0.22225435442120184,0.03477927899999999,0.592235141117395,0.020662078605362625,0.015748798643929352,0.5280011524322759,0.3437168365255748,0.0008217577327070657,5.345853739836195e-16,2.7887080335315973e-06
2,0.014130368651703586,0.6940006877724105,37.80718336483932,0.2614703238627851,0.03431284090431153,0.6543795902001937,0.078044384145433,0.010088739193019329,0.3837318165612715,0.3520002410442788,0.00047874194266976183,4.1301516333670075e-20,0.0006554883374587928
3,0.011596875646570012,0.5979486495373647,37.80718336483932,0.19154375749578856,0.03477927899952684,1.1913188437166382,0.01959550618642798,0.012742698090488426,0.47762771373160384,0.36738673316888604,0.0004620000364073559,7.381555998214782e-12,0.954605795291456
4,0.014737735301292984,0.6019067040635065,37.80718336483932,0.23426484508679407,0.03477927899994449,0.8084838137145001,0.019593960002188826,0.01585764721030813,0.3122823783147845,0.3673867499954162,0.000462000004843232,6.985828990033796e-12,0.0007839095166789489
5,0.00886458759070654,0.999999999874691,37.80718336483932,0.22776208319183028,0.03477927899999999,0.8309087924189946,0.019593960000000004,0.01585999999998786,1.0780855931168971,0.36738674999999993,0.00046200000000000006,0.052653030904931154,0.9999999999999999
6,0.01667514660648154,0.7069680089762146,37.80718336483932,0.30631003031265874,0.034779278999884755,0.6942322519480484,0.01959396000098498,0.015859999999781924,0.312278737507621,0.3673867499859772,0.0005751523098068758,7.343486635970738e-11,0.9999999999997035
7,0.01186793366607876,0.5903443345460281,37.80718336483932,0.17794690977929994,0.03442427137059643,0.9500275767310459,0.06043847457001536,0.01260628270477368,0.49406018151403536,0.36248416069742123,0.0005103378557048552,4.838004389941126e-12,2.360358524960492e-10
8,0.010033283304858783,0.5723560869709754,37.80718336483932,0.14673643514320686,0.02871584794573854,0.9620702963997201,0.019593960000648464,0.015859999996380252,0.5880785113343946,0.3673867499710081,0.00046200000000000006,3.2726066661180074e-08,0.9999999763360475
9,0.011630173068742738,0.6425870901895927,37.80718336483932,0.19992921756230236,0.03477927899441201,0.4882273374083989,0.019593960000078955,0.015859999957101127,0.8196441584019807,0.36738674999994586,0.00046200000000000006,0.005156321227570438,0.9999999988923487
10,0.015319585655359862,0.5536101039881529,37.80718336483932,0.2210469533515623,0.03477927899976559,0.7495905317932696,0.019593960000000004,0.01585999999996028,0.31227954167048044,0.36738674999612486,0.0004620000001597532,2.0628807509070537e-11,0.006955252805751683
11,0.008050599998060074,0.9999999998856367,37.80718336483932,0.21594007248182073,0.016134384617192472,0.29799147500000006,0.019593960000000094,0.01586,0.47881456610136014,0.36738674999999993,0.00046200000000000006,0.06443834617337207,0.9999999999999999
