concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
5.0,37.8,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,25.93058189333731,0.30345293917695804,1179.3762739792185,2.0464984041923175,3.661247594088026,0.11402491749232822,0.0,0.0
10.0,38.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,54.82880476380622,0.21073355328872245,975.932314037337,0.8890765382493263,7.394850171264082,0.07739162938981554,0.010529359499061672,0.002920318890127745
20.0,10.0,0.57,0.05,180212.52,180055.68,7.244970000390991,0.0063432946148348655,22.176556718455092,0.01109797251042779,0.7831410816920633,0.002085530714449399,0.0701060916267679,0.0006239854529195237
20.0,29.0,0.57,1.0,15804.8,18574.8,5.232357818119173,0.016783658905743903,112.81585804423197,0.07793328850367615,0.6755389021685294,0.006030635900226305,0.0,0.0
67.0,50.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,521.0086059912136,0.6366002636180114,405.8412465308459,0.561852680620009,68.57490883747558,0.23095479592897483,0.01011188410847407,0.002804532049588671
100.0,10.0,0.57,0.025,34679.38,34468.1,44.34131849449201,0.03586704760855072,0.0,0.0,4.105593287706604,0.01091388291177185,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,49.7508205079183,0.07269294572654163,0.0,0.0,6.995825765541854,0.027259107763719634,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,974.8580376549997,0.8299793788867643,0.0,0.0,125.6730668671617,0.29800099949255765,0.0,0.0
