concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_772,ErrAr_772
1.0,398.1,0.0086,10.0,100.0,94.85,94.0,65.61155586195363,65.69012040780501,100,13079.0,114.3634557015483
1.0,389.9,0.009,10.0,100.0,88.79,87.94,66.77147745871886,66.88386135003653,100,12799.0,113.13266548614507
1.0,389.9,0.0093,10.0,100.0,98.72,97.97,72.8079083283644,73.0636162546176,100,13883.0,117.8261431092438
1.0,366.1,0.0103,10.0,100.0,107.79,107.09,82.67317850696466,82.88291546976178,100,15858.0,125.92855117089213
1.0,354.8,0.0108,10.0,100.0,81.69,80.89,55.24009943744296,55.38841635817607,100,12675.0,112.58330249197702
1.0,351.1,0.0112,10.0,100.0,109.45,108.68,80.26375397413331,80.36229579758523,100,17098.0,130.75932089147602
1.0,340.3,0.0118,10.0,100.0,102.93,102.22,71.06210898455895,71.29389734037407,100,16524.0,128.5457117137713
1.0,316.2,0.0137,10.0,100.0,104.04,103.48,66.87798629224007,67.19404735540195,100,17671.0,132.93231360357797
1.0,297.0,0.0156,10.0,100.0,110.72,110.28,82.04606737508611,82.47731001109742,100,20453.0,143.01398533010678
1.0,281.8,0.0175,10.0,100.0,109.63,109.29,79.85285141300764,80.36071393059137,100,21656.0,147.15977711317723
1.0,259.2,0.0211,10.0,100.0,100.27,99.95,84.48583109945511,84.99035893035817,100,21443.0,146.43428560279182
1.0,251.2,0.0227,10.0,100.0,109.4,109.36,97.00536275918154,97.84140124701709,100,24419.0,156.26579920123277
1.0,226.2,0.0291,10.0,100.0,125.39,125.79,119.01794237030234,120.3679791474477,100,31530.0,177.56688880531752
1.0,223.9,0.0299,10.0,100.0,111.53,111.75,106.6225718517558,107.67143952269278,100,29166.0,170.78056095469412
1.0,199.5,0.0404,10.0,100.0,116.4,117.71,95.45309282203971,97.383786736766,100,34683.0,186.23372412106247
1.0,197.4,0.0416,10.0,100.0,98.8,99.79,88.6449050533599,90.2347438069117,100,30589.0,174.89711261195822
1.0,172.3,0.0618,10.0,100.0,92.59,94.79,84.38333587704017,86.9906874152038,100,35071.0,187.27252868480204
1.0,150.4,0.0969,10.0,100.0,105.18,109.71,106.64463598249273,111.92297992076263,100,48939.0,221.22160834782844
1.0,131.3,0.1627,10.0,100.0,112.21,123.55,135.08203979340658,148.69087824317694,100,68596.0,261.908380927377
1.0,125.9,0.1971,10.0,100.0,111.44,125.17,117.5838681988565,131.69317377982057,100,75328.0,274.4594687745351
1.0,118.2,0.2598,10.0,100.0,92.63,109.29,103.54598402681201,121.80073932866787,100,74346.0,272.66462916924155
1.0,114.6,0.2986,10.0,100.0,97.01,117.33,97.2353694429505,117.19387847287568,100,82633.0,287.4595623735624
1.0,111.0,0.3486,10.0,100.0,105.83,133.66,150.06524204054338,188.32479036671373,100,100778.0,317.45550869373807
1.0,104.3,0.4769,10.0,100.0,75.38,107.52,101.26750054517326,142.98996786170318,100,91978.0,303.27874966769434
1.0,97.9,0.6667,10.0,100.0,52.1,87.72,78.47028646937552,128.94890382620474,100,83982.0,289.7964803098892
