concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_1s2_1s3,ErrAr_1s2_1s3
0.1,17.2,0.57,1.0,100.0,92.13,91.4,71.82029411290827,71.94175534149943,100,37261.0,193.03108557949935
0.2,17.3,0.57,1.0,100.0,93.3,92.98,81.67656093433786,82.10143762813206,100,37938.0,194.7767953325036
0.5,17.4,0.57,1.0,100.0,97.5,97.91,76.8255928527188,77.80642841713211,100,38671.0,196.64943427327728
1.0,18.1,0.57,1.0,100.0,148.87,152.0,133.65330205990105,137.2962586025658,100,54990.0,234.49946695035365
2.0,18.1,0.57,1.0,100.0,101.24,106.39,103.80742855028356,109.72057208834605,100,38131.0,195.27160571880387
5.0,19.4,0.57,1.0,100.0,110.63,123.83,103.456002945477,115.7758243984966,100,36333.0,190.61217169950086
10.0,20.9,0.57,1.0,100.0,88.09,110.99,93.50418291297038,117.06947734252736,100,27190.0,164.8939052845799
15.0,22.7,0.57,1.0,100.0,125.81,167.76,156.1683690602854,205.9389494706888,100,32194.0,179.42686532400882
20.0,24.4,0.57,1.0,100.0,96.11,135.68,112.86184412185484,156.91121339435526,100,22105.0,148.67750334196495
50.0,31.3,0.57,1.0,100.0,150.14,261.31,212.58923355198925,365.16706277726325,100,18173.0,134.80726983364065
80.0,36.6,0.57,1.0,100.0,96.72,193.45,153.72651040077636,298.5211487694402,100,4893.0,69.94998213009065
100.0,39.4,0.57,1.0,100.0,92.87,203.97,136.7593665656373,294.2531190672549,100,0.0,0.0
